,LOCATION,INDICATOR,TIME,Value
288,CAN,TRADEGOOD,2004-Q2,7.127058
289,CAN,TRADEGOOD,2004-Q3,2.104297
290,CAN,TRADEGOOD,2004-Q4,3.054065
291,CAN,TRADEGOOD,2005-Q1,1.393206
292,CAN,TRADEGOOD,2005-Q2,1.341736
293,CAN,TRADEGOOD,2005-Q3,6.961194
294,CAN,TRADEGOOD,2005-Q4,8.219952
295,CAN,TRADEGOOD,2006-Q1,-3.017256
296,CAN,TRADEGOOD,2006-Q2,0.8343472
297,CAN,TRADEGOOD,2006-Q3,0.8074519
298,CAN,TRADEGOOD,2006-Q4,-0.06214057
299,CAN,TRADEGOOD,2007-Q1,1.829629
300,CAN,TRADEGOOD,2007-Q2,6.718483
301,CAN,TRADEGOOD,2007-Q3,-0.557607
302,CAN,TRADEGOOD,2007-Q4,3.49474
303,CAN,TRADEGOOD,2008-Q1,3.883126
304,CAN,TRADEGOOD,2008-Q2,8.399882
305,CAN,TRADEGOOD,2008-Q3,0.68721
306,CAN,TRADEGOOD,2008-Q4,-22.26327
307,CAN,TRADEGOOD,2009-Q1,-22.34091
308,CAN,TRADEGOOD,2009-Q2,-1.688634
309,CAN,TRADEGOOD,2009-Q3,10.89646
310,CAN,TRADEGOOD,2009-Q4,6.501639
311,CAN,TRADEGOOD,2010-Q1,6.790943
312,CAN,TRADEGOOD,2010-Q2,4.377284
313,CAN,TRADEGOOD,2010-Q3,-1.569616
314,CAN,TRADEGOOD,2010-Q4,7.991461
315,CAN,TRADEGOOD,2011-Q1,5.571005
316,CAN,TRADEGOOD,2011-Q2,2.088094
317,CAN,TRADEGOOD,2011-Q3,5.668452
318,CAN,TRADEGOOD,2011-Q4,-1.659001
319,CAN,TRADEGOOD,2012-Q1,0.6188881
320,CAN,TRADEGOOD,2012-Q2,-2.053807
321,CAN,TRADEGOOD,2012-Q3,-1.174804
322,CAN,TRADEGOOD,2012-Q4,1.781595
323,CAN,TRADEGOOD,2013-Q1,1.443157
324,CAN,TRADEGOOD,2013-Q2,-1.273895
325,CAN,TRADEGOOD,2013-Q3,-1.165613
326,CAN,TRADEGOOD,2013-Q4,1.955243
327,CAN,TRADEGOOD,2014-Q1,-0.7937496
328,CAN,TRADEGOOD,2014-Q2,6.749704
329,CAN,TRADEGOOD,2014-Q3,0.8407483
330,CAN,TRADEGOOD,2014-Q4,-4.25993
331,CAN,TRADEGOOD,2015-Q1,-11.28334
332,CAN,TRADEGOOD,2015-Q2,0.05849264
333,CAN,TRADEGOOD,2015-Q3,-0.7339342
334,CAN,TRADEGOOD,2015-Q4,-5.952651
335,CAN,TRADEGOOD,2016-Q1,-3.097669
336,CAN,TRADEGOOD,2016-Q2,0.1444759
337,CAN,TRADEGOOD,2016-Q3,5.102159
338,CAN,TRADEGOOD,2016-Q4,1.554852
339,CAN,TRADEGOOD,2017-Q1,3.773999
340,CAN,TRADEGOOD,2017-Q2,-0.2571912
341,CAN,TRADEGOOD,2017-Q3,-1.1466
342,CAN,TRADEGOOD,2017-Q4,4.173239
343,CAN,TRADEGOOD,2018-Q1,2.625591
344,CAN,TRADEGOOD,2018-Q2,3.971827
345,CAN,TRADEGOOD,2018-Q3,0.5274965
346,CAN,TRADEGOOD,2018-Q4,-5.077843
347,CAN,TRADEGOOD,2019-Q1,-2.181971
348,CAN,TRADEGOOD,2019-Q2,6.920738
349,CAN,TRADEGOOD,2019-Q3,-1.505517
350,CAN,TRADEGOOD,2019-Q4,-1.67132
351,CAN,TRADEGOOD,2020-Q1,-4.594793
352,CZE,TRADEGOOD,1998-Q2,2.24673
353,CZE,TRADEGOOD,1998-Q3,2.752692
354,CZE,TRADEGOOD,1998-Q4,0.5562844
355,CZE,TRADEGOOD,1999-Q1,-7.54431
356,CZE,TRADEGOOD,1999-Q2,4.194443
357,CZE,TRADEGOOD,1999-Q3,4.981779
358,CZE,TRADEGOOD,1999-Q4,2.059737
359,CZE,TRADEGOOD,2000-Q1,3.710818
360,CZE,TRADEGOOD,2000-Q2,-0.01051943
361,CZE,TRADEGOOD,2000-Q3,3.087619
362,CZE,TRADEGOOD,2000-Q4,4.816673
363,CZE,TRADEGOOD,2001-Q1,10.42928
364,CZE,TRADEGOOD,2001-Q2,-4.421465
365,CZE,TRADEGOOD,2001-Q3,2.688396
366,CZE,TRADEGOOD,2001-Q4,3.641821
367,CZE,TRADEGOOD,2002-Q1,2.281563
368,CZE,TRADEGOOD,2002-Q2,6.184281
369,CZE,TRADEGOOD,2002-Q3,6.236214
370,CZE,TRADEGOOD,2002-Q4,5.615512
371,CZE,TRADEGOOD,2003-Q1,8.848166
